age,salary,credit_score,employment_months,existing_emi,loan_amount,default_history,missed_payments,bank_balance,loan_purpose,approved
44,103347,726,27,1298,917003,0,1,471129,Home,1
28,73875,646,20,1450,393737,1,3,307360,Home,0
49,23464,622,66,359,53834,1,6,101766,Car,0
51,42068,731,128,822,55777,0,1,199528,Personal,1
18,157977,797,70,2451,187514,0,1,283502,Personal,1
24,127393,677,109,6382,152625,0,3,277863,Education,1
42,50577,603,208,750,80735,0,2,177045,Personal,1
36,113209,603,41,4523,288145,0,2,88887,Car,1
40,80845,774,210,2225,252503,0,2,309345,Home,1
30,20513,712,103,633,18528,0,0,35555,Medical,0
51,86569,690,108,2842,81821,0,1,155400,Personal,0
49,133629,695,110,4664,221137,0,1,316760,Personal,1
41,121619,632,204,1399,358944,0,0,35395,Home,1
54,178150,717,67,5492,617488,0,1,980910,Business,1
46,83099,736,37,1749,81505,0,1,11113,Personal,1
30,108867,673,203,1083,206800,0,0,208947,Personal,1
44,94327,631,40,6799,423761,0,0,126503,Business,0
28,79165,646,65,2679,44210,0,5,122422,Personal,1
51,53541,656,105,1474,126983,0,1,14800,Car,0
39,94024,731,62,983,134326,0,0,226849,Personal,1
38,114712,725,59,1854,308360,1,4,20838,Car,0
32,169106,679,46,8667,173022,0,1,104004,Personal,1
55,121473,687,250,4238,361541,0,3,136030,Business,1
38,187719,664,105,6315,885088,0,2,139438,Business,1
35,105358,481,174,850,120850,1,0,278065,Education,0
36,144555,614,93,124,301612,0,1,75229,Car,1
46,81305,647,150,2781,122711,0,0,296247,Personal,1
44,75832,667,214,1319,60416,0,1,273209,Personal,1
45,180446,527,152,4593,204069,1,6,595722,Personal,0
45,99379,741,82,2488,348042,0,2,508841,Car,1
65,53999,588,44,1583,72899,0,0,39957,Personal,0
35,194289,700,46,9957,366936,0,1,73027,Car,1
34,106749,637,150,3954,418008,0,1,67095,Home,1
30,90672,689,22,4350,497504,0,0,93267,Home,0
47,39363,552,66,421,103414,1,4,195032,Business,0
54,22519,619,84,348,138713,0,0,90485,Home,0
39,214250,751,104,2362,107775,0,1,358168,Personal,1
30,169529,621,124,4830,206095,1,5,47444,Medical,0
30,147817,560,57,10405,291297,0,0,73674,Car,0
48,115320,673,112,30,145062,0,0,533506,Personal,1
49,92619,655,66,1174,213324,0,0,403381,Car,1
47,124655,620,111,6669,910412,0,2,112857,Home,1
32,82752,715,46,333,301739,0,1,227084,Home,1
43,109901,617,66,3226,181784,1,2,85287,Personal,0
41,128389,603,62,1812,88999,1,1,624884,Education,0
43,120649,706,57,786,121158,0,1,243150,Personal,1
50,143176,616,57,2680,172848,0,0,232387,Personal,1
43,46093,603,201,865,55694,1,3,108588,Personal,0
48,32416,850,42,1566,108387,0,0,99689,Home,1
41,166633,723,35,4174,206035,0,1,186846,Personal,1
43,182033,781,37,6173,198670,0,0,725348,Medical,1
48,118300,659,32,6680,235337,0,1,562577,Car,0
23,96871,615,16,4865,386549,0,2,35438,Business,0
36,122070,575,68,1315,435324,0,2,220529,Car,1
34,127822,647,137,3292,451685,0,0,294465,Business,1
32,144706,523,138,3422,565352,1,3,471446,Home,0
37,76551,511,153,1299,86331,0,2,313344,Education,0
58,91007,627,94,6414,182378,1,5,263309,Car,0
30,94061,639,53,1336,635046,1,3,367363,Home,0
52,188469,639,148,6944,142815,0,1,623974,Medical,1
20,170833,701,64,10306,361990,0,1,221170,Car,1
36,105177,613,17,1487,514895,0,1,218571,Home,1
42,79005,699,34,2139,26368,0,2,270952,Education,1
47,52533,662,70,354,63229,1,3,245411,Personal,0
49,147336,639,59,5358,1085561,1,2,757488,Home,0
50,35390,576,106,1317,29693,0,0,65367,Medical,0
36,192905,811,96,5518,166158,0,0,522308,Medical,1
34,123571,774,46,3047,678568,0,1,348674,Home,1
50,165043,639,162,6230,265534,0,1,817208,Personal,1
38,159811,740,73,4389,263057,0,1,490848,Personal,1
25,175535,700,249,5762,854530,0,1,478777,Business,1
26,94113,729,53,2034,137712,0,0,262047,Personal,1
29,102198,616,110,1680,500591,0,2,183758,Business,1
46,153283,756,10,7524,260354,0,1,541372,Personal,1
42,118365,557,179,2216,194559,0,3,426456,Personal,0
48,116132,518,50,2931,793884,0,2,440406,Home,0
35,48154,641,86,761,55729,0,1,6860,Personal,0
42,104357,617,92,5183,145611,1,3,215204,Car,0
48,32896,703,44,769,160157,0,3,83935,Business,0
36,37441,542,6,716,71474,1,4,37390,Car,0
45,150927,672,52,2744,1252164,0,0,579399,Home,1
32,110530,615,77,2519,109137,0,1,205711,Personal,1
36,120685,766,22,2653,569165,0,0,339894,Business,1
35,126521,551,57,1510,153554,0,0,213620,Education,0
26,167984,763,99,1877,170337,1,0,543794,Personal,1
46,100718,742,56,4043,110988,1,4,172892,Personal,0
34,64909,653,31,2472,98984,0,0,37462,Personal,0
40,148863,696,45,1830,953119,0,6,655241,Home,1
46,55103,717,30,633,82510,0,1,34359,Personal,1
45,144594,656,145,6754,965579,0,0,557845,Business,1
48,79316,724,52,3271,466845,0,1,369254,Home,1
39,67169,627,68,1104,223044,0,0,42948,Business,1
35,129150,725,113,1284,123981,0,1,511029,Personal,1
39,99737,630,30,2184,82341,0,1,291516,Education,1
20,65788,641,19,4220,395627,0,1,86851,Home,0
23,79341,718,14,3809,414515,0,2,78380,Business,0
24,106426,572,155,3037,161529,1,3,208089,Personal,0
28,198687,756,24,12040,114200,0,0,545977,Education,1
45,80195,643,123,903,355686,0,0,141631,Business,1
29,100586,695,50,3266,150516,0,1,264007,Personal,1
35,115753,662,74,4304,105106,0,1,529024,Personal,1
56,72492,700,74,3061,59144,0,0,380571,Personal,1
36,148720,628,114,6494,448342,0,0,88217,Car,1
49,94784,689,16,6469,352351,0,1,169701,Business,0
29,100634,631,130,2434,130684,1,2,226992,Personal,0
38,152158,849,156,9760,130585,0,2,367731,Personal,1
29,100584,608,81,1413,122451,0,3,390798,Personal,1
36,184680,721,40,7926,402246,0,0,557842,Car,1
50,122096,592,104,3107,66203,0,0,577773,Personal,0
19,126891,583,48,3040,184545,0,1,212124,Personal,1
45,213797,704,126,4490,1266147,0,0,529519,Home,1
43,195436,434,32,7773,252682,0,2,906910,Personal,0
33,29347,573,103,540,47646,0,0,19198,Personal,0
23,109833,589,291,2982,290462,0,1,16296,Business,0
41,134587,697,31,3707,640181,0,0,279222,Business,1
34,21478,637,38,1342,22338,1,6,83429,Personal,0
43,44460,543,78,1113,62390,1,6,210541,Personal,0
40,53783,642,201,1504,225203,1,3,130673,Home,0
59,47472,647,106,2158,247192,0,2,13567,Business,0
37,113037,686,148,3564,295249,0,1,123553,Business,1
28,116490,534,29,3214,341613,1,1,210832,Car,0
42,139638,655,119,2629,318258,0,1,312138,Car,1
43,104947,667,51,4461,114816,0,1,326989,Personal,1
56,70229,681,105,2901,75767,1,6,294959,Personal,0
50,136245,698,47,3663,161486,0,1,391016,Personal,1
44,109091,686,89,7416,475207,0,1,433632,Business,1
58,101187,726,96,2014,254996,0,0,172111,Car,1
26,161635,743,49,5287,278876,0,0,114916,Education,1
32,78013,567,39,5315,545504,0,0,208786,Home,0
29,85312,678,47,3257,400275,0,1,151524,Home,1
35,103210,704,38,1643,114427,0,0,121246,Education,1
